,eventID,EarthquakeMagnitude,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,max_epicentral,max_hypocentral,max_rupture
nn00307350,nn00307350,3.4,2010-03-25T05:35:45.017000Z,38.8186,-119.3684,6.7,301.94,301.53,301.75
nn00247350,nn00247350,3.6,2008-05-08T05:55:01.579000Z,39.54,-119.9256,2.6,305.39,305.61,305.08
nn00243596,nn00243596,3.2,2008-05-01T07:26:50.377000Z,39.5374,-119.9353,2.3,304.65,305.01,304.45
nc74000481,nc74000481,3.2,2024-02-10T09:46:37.140000Z,39.39333,-120.15517,5.73,304.02,304.25,303.86
nn00038991,nn00038991,2.6,2001-10-30T04:43:18.733000Z,39.3057,-119.9713,6.5,299.1,299.17,299.06
nn00245454,nn00245454,3.3,2008-05-15T13:44:47.933000Z,39.5397,-119.9193,3.2,305.6,305.8,305.38
nn00242215,nn00242215,3.1,2008-04-25T01:00:33.451000Z,39.5246,-119.9283,1.6,305.25,305.31,305.07
nn00516927,nn00516927,2.5,2008-04-15T00:27:59.393000Z,39.5232,-119.9532,2.7,302.42,302.4,302.33
nc75090886,nc75090886,2.5,2024-11-26T23:53:37.430000Z,39.33217,-120.13883,8.0,302.03,302.53,302.03
nn00861791,nn00861791,3.0,2023-06-27T01:05:31.408000Z,39.6342,-119.6433,9.5,305.69,305.51,305.67
nn00889312,nn00889312,3.2,2024-12-12T02:57:15.080000Z,39.1838,-119.001,5.5,305.36,305.21,305.2
nc21086071,nc21086071,3.1,2000-03-10T23:56:57.360000Z,39.63867,-120.33467,5.26,279.79,279.7,279.66
nn00346705,nn00346705,2.6,2011-09-02T05:23:17.054000Z,39.079,-119.6327,10.8,305.49,305.46,305.57
nn00459165,nn00459165,2.7,2014-09-11T20:02:20.663000Z,39.6057,-119.7292,10.6,304.29,304.08,304.35
nn00523696,nn00523696,4.4,2015-12-23T06:46:07.342000Z,39.4309,-119.7845,9.7,305.23,305.18,304.63
nn00874424,nn00874424,3.2,2024-03-09T06:27:25.425000Z,39.4113,-119.6925,8.5,303.85,303.54,303.76
nc73193831,nc73193831,2.6,2019-06-07T03:43:11.040000Z,39.36833,-120.02033,-2.03,305.87,305.2,306.2
nn00888661,nn00888661,4.2,2024-12-10T00:39:56.966000Z,39.1686,-119.0225,8.1,306.11,306.07,305.61
nn00861737,nn00861737,3.1,2023-06-26T02:26:51.900000Z,39.6464,-119.6463,9.3,305.17,304.64,305.12
nn00872549,nn00872549,3.5,2024-01-29T00:03:00.095000Z,39.4074,-119.6995,8.8,305.26,305.2,305.09
nn00487689,nn00487689,2.5,2008-04-24T23:52:22.401000Z,39.5212,-119.9244,3.1,305.14,305.21,305.06
nn00163749,nn00163749,2.8,2005-09-27T20:42:00.297000Z,39.0841,-119.6379,11.3,305.73,305.96,305.8
nc72822206,nc72822206,2.6,2017-06-27T12:43:43.370000Z,39.47083,-120.33533,-1.98,304.42,304.21,304.73
nn00889181,nn00889181,2.7,2024-12-11T07:25:54.449000Z,39.159,-119.0482,10.6,305.56,305.66,305.62
nn00263795,nn00263795,3.3,2008-10-27T05:41:46.525000Z,39.4537,-119.413,8.4,304.77,304.93,304.65
nc21169351,nc21169351,2.6,2001-06-09T18:27:15.240000Z,39.32383,-120.07533,11.72,279.42,279.74,279.56
nn00185054,nn00185054,2.6,2006-06-25T12:32:27.031000Z,39.3462,-119.9845,7.2,297.2,297.52,297.18
nc73566751,nc73566751,3.1,2021-05-28T16:04:54.470000Z,39.1245,-120.03383,5.41,305.2,305.61,305.06
nn00191064,nn00191064,3.2,2005-01-13T14:12:15.214000Z,39.7474,-119.8862,6.0,304.6,305.18,304.45
nn00244770,nn00244770,2.5,2008-05-10T02:42:15.067000Z,39.5403,-119.9165,4.1,305.84,305.97,305.76
nn00239115,nn00239115,3.0,2008-03-24T19:16:14.290000Z,39.5245,-119.9334,1.9,305.68,305.03,305.51
nn00681228,nn00681228,3.6,2019-04-01T14:43:27.510000Z,39.0343,-118.9044,5.9,304.68,304.68,304.41
nn00433910,nn00433910,2.7,2014-01-11T02:20:52.353000Z,39.6607,-119.6964,11.0,297.29,297.36,297.37
nn00436230,nn00436230,3.2,2014-01-28T16:27:30.452000Z,39.424,-119.5669,9.3,293.78,294.02,293.72
nn00244121,nn00244121,2.8,2008-05-05T11:09:54.172000Z,39.549,-119.9421,4.1,305.61,305.99,305.5
nc73566756,nc73566756,2.7,2021-05-28T16:22:58.320000Z,39.1255,-120.02967,6.29,305.45,305.87,305.38
nn00523690,nn00523690,2.8,2015-12-23T06:58:15.469000Z,39.432,-119.7824,9.5,305.09,305.38,305.1
nc73346460,nc73346460,2.8,2020-02-26T18:44:16.490000Z,39.65483,-120.04,2.11,305.2,305.62,305.06
nn00860674,nn00860674,2.5,2023-06-02T10:34:20.649000Z,39.6183,-119.965,5.4,304.96,304.95,304.9
nn00712041,nn00712041,2.8,2019-12-01T02:11:06.477000Z,39.111,-119.7343,8.7,304.17,304.37,304.15
nn00503403,nn00503403,2.5,2008-04-25T00:13:39.869000Z,39.5283,-119.9285,1.7,305.42,305.28,305.32
nc21457914,nc21457914,2.9,2005-05-21T10:22:54.950000Z,39.392,-120.16767,-2.34,296.1,295.63,296.48
nn00888804,nn00888804,2.5,2024-12-10T04:23:13.614000Z,39.155,-119.0473,12.6,303.5,303.64,303.67
nn00245667,nn00245667,2.5,2008-05-16T21:42:02.863000Z,39.537,-119.9338,3.5,305.3,304.67,305.22
nc21440508,nc21440508,2.6,2005-02-19T05:45:07.310000Z,39.229,-120.089,6.88,298.47,298.89,298.44
nn00861551,nn00861551,2.5,2023-06-22T12:09:36.064000Z,39.624,-119.9652,7.1,305.41,305.44,305.39
nc73855400,nc73855400,3.0,2023-03-11T16:09:08.470000Z,39.36133,-120.014,-2.13,303.98,304.3,304.33
nn00247598,nn00247598,3.0,2008-05-31T09:09:56.735000Z,39.5475,-119.929,4.1,304.73,304.01,304.58
nn00385392,nn00385392,5.1,2008-04-26T06:40:10.453000Z,39.5231,-119.9393,2.8,306.21,305.7,304.66
nn00860645,nn00860645,3.1,2023-06-02T00:28:07.553000Z,39.6214,-119.9712,6.4,304.84,304.86,304.72
nn00487790,nn00487790,2.9,2008-04-24T22:56:28.013000Z,39.521,-119.9463,3.6,300.34,300.46,300.2
nn00255746,nn00255746,3.2,2008-07-29T10:34:41.986000Z,39.5519,-119.9533,4.9,306.43,305.93,306.25
nn00860991,nn00860991,2.6,2023-06-07T21:42:18.277000Z,39.6143,-119.9636,5.7,303.89,304.09,303.83
nn00242539,nn00242539,2.9,2008-04-26T06:56:33.742000Z,39.5158,-119.9228,3.8,305.1,304.48,304.96
nn00059477,nn00059477,3.5,2002-11-21T07:51:35.066000Z,39.3824,-119.1929,8.4,296.97,296.91,296.8
nn00629667,nn00629667,2.6,2018-04-08T11:36:16.322000Z,39.3322,-119.9574,9.4,304.96,304.66,304.99
nc72296116,nc72296116,3.4,2014-09-11T00:08:42.940000Z,39.23533,-120.10117,4.04,305.23,304.91,304.99
nn00246969,nn00246969,2.6,2008-05-28T10:54:13.449000Z,39.5429,-119.9176,2.4,305.73,304.99,305.62
nn00048730,nn00048730,3.0,2002-05-22T08:49:57.087000Z,39.4239,-119.5748,16.0,302.31,302.69,302.58
nc73078235,nc73078235,3.8,2018-08-30T22:08:09.700000Z,39.23717,-120.10933,2.09,305.07,305.38,304.7
nc73554385,nc73554385,3.7,2021-04-25T15:33:23.610000Z,39.12833,-120.04333,7.51,305.31,305.72,305.04
nn00889009,nn00889009,2.7,2024-12-10T15:14:14.719000Z,39.1549,-119.0436,10.7,305.21,304.89,305.27
nn00343959,nn00343959,2.5,2011-07-28T12:16:58.233000Z,39.0196,-118.8862,9.1,305.13,304.99,305.16
nn00888580,nn00888580,5.7,2024-12-09T23:08:31.577000Z,39.1675,-119.0238,9.3,305.94,305.95,303.19
nn00751469,nn00751469,2.8,2020-06-21T20:51:08.848000Z,39.6011,-119.0895,12.1,303.64,303.9,303.75
nn00888573,nn00888573,3.0,2024-12-09T23:16:33.556000Z,39.1622,-119.0469,11.3,305.37,305.5,305.41
nn00821396,nn00821396,2.6,2021-09-06T08:45:20.712000Z,39.8721,-119.0105,14.9,303.14,303.81,303.41
nc71956270,nc71956270,2.6,2013-03-17T14:50:01.960000Z,39.62567,-120.01233,2.54,304.9,304.8,304.8
nn00001757,nn00001757,3.2,2000-01-28T03:57:42.286000Z,39.5538,-118.9515,8.0,284.54,285.13,284.44
nn00888587,nn00888587,2.5,2024-12-09T23:26:47.694000Z,39.1504,-119.0765,11.4,304.63,304.78,304.75
nn00243684,nn00243684,2.8,2008-05-01T20:14:11.500000Z,39.5332,-119.9392,3.0,305.87,305.23,305.74
nc71504090,nc71504090,3.5,2011-01-01T23:57:24.240000Z,38.8325,-119.78933,-0.44,305.47,305.65,300.97
nc73152811,nc73152811,2.9,2019-03-16T14:54:45.980000Z,39.609,-120.0435,-1.47,303.85,303.1,304.09
nc71698320,nc71698320,3.0,2011-12-23T05:30:29.850000Z,39.41233,-120.12367,-1.93,302.66,302.75,302.97
nn00778922,nn00778922,2.7,2020-10-16T06:35:22.231000Z,39.197,-119.5979,7.7,305.11,304.88,305.08
nn00321527,nn00321527,2.5,2010-11-26T23:29:22.700000Z,39.4229,-119.8653,11.2,299.27,299.27,299.38
nc21368407,nc21368407,4.2,2004-06-03T08:54:46.230000Z,39.3335,-120.00833,2.99,301.93,301.98,301.33
nn00242563,nn00242563,2.9,2008-04-26T07:32:27.028000Z,39.5282,-119.9289,1.0,305.19,304.53,305.03
nn00888784,nn00888784,2.5,2024-12-10T04:01:17.264000Z,39.1703,-119.0138,11.9,305.51,305.33,305.64
nc73559265,nc73559265,4.7,2021-05-07T04:35:14.150000Z,39.461,-120.3145,10.12,305.12,305.59,304.31
nn00240039,nn00240039,2.8,2008-04-02T00:07:46.317000Z,39.5209,-119.9342,2.1,305.86,305.21,305.73
nn00242164,nn00242164,4.1,2008-04-24T22:55:48.953000Z,39.5297,-119.9332,2.9,305.49,304.85,304.96
nc73109741,nc73109741,3.0,2018-11-12T00:53:47.320000Z,39.229,-120.09883,3.59,305.6,306.09,305.46
nn00889400,nn00889400,3.3,2024-12-13T00:54:48.442000Z,39.0966,-118.9661,9.4,305.47,305.7,305.38
nn00479246,nn00479246,2.7,2015-01-26T21:57:10.920000Z,39.3925,-119.8115,7.1,303.58,303.49,303.54
nc75037447,nc75037447,2.9,2024-07-21T03:56:34.040000Z,39.13333,-120.034,6.68,303.74,304.06,303.66
nn00385016,nn00385016,3.0,2008-04-24T23:00:21.849000Z,39.5292,-119.9477,2.5,303.4,303.76,303.24
nc73578975,nc73578975,2.9,2021-06-19T13:26:17.940000Z,39.1205,-120.0295,5.39,303.79,303.44,303.69
