,eventID,EarthquakeMagnitude,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,max_epicentral,max_hypocentral,max_rupture
nn00278762,nn00278762,2.5,2008-04-26T06:42:08.163000Z,39.5214,-119.9416,0.8,302.94,302.91,302.84
nn00278754,nn00278754,3.2,2008-04-26T06:41:03.685000Z,39.5267,-119.9235,0.8,304.42,304.39,304.21
nn00243347,nn00243347,3.0,2008-04-29T06:01:53.435000Z,39.5154,-119.919,3.8,305.77,305.05,305.62
nn00242605,nn00242605,3.3,2008-04-26T09:11:59.819000Z,39.5247,-119.9285,1.2,305.27,305.0,305.03
nn00487664,nn00487664,3.1,2008-04-24T22:54:37.825000Z,39.5326,-119.937,2.5,305.71,305.62,305.53
nn00719846,nn00719846,3.2,2020-03-22T02:53:13.892000Z,39.1163,-119.7431,8.1,304.17,304.42,304.06
nn00117417,nn00117417,2.7,2004-10-18T11:10:09.017000Z,39.0675,-119.6077,12.1,303.1,303.17,303.23
nn00313976,nn00313976,2.5,2010-07-19T19:18:33.011000Z,39.4145,-119.9247,9.5,305.42,305.44,305.47
nn00436688,nn00436688,2.5,2014-01-30T13:07:51.463000Z,39.4218,-119.569,9.8,292.59,292.71,292.66
nc73566741,nc73566741,2.6,2021-05-28T15:46:36.720000Z,39.1265,-120.03467,6.91,304.68,304.03,304.64
nn00872355,nn00872355,2.5,2024-01-26T00:12:18.850000Z,39.4076,-119.6945,10.1,305.6,305.58,305.67
nn00494644,nn00494644,2.7,2015-05-17T01:54:41.224000Z,39.0509,-118.9523,8.3,305.65,305.76,305.64
nc73558875,nc73558875,2.5,2021-05-06T13:18:34.070000Z,39.12633,-120.03283,7.85,304.83,304.21,304.83
nn00343054,nn00343054,3.0,2011-07-14T07:52:53.611000Z,39.3176,-119.9856,7.7,304.72,305.29,304.64
nc21142104,nc21142104,2.5,2001-01-04T00:29:37.950000Z,39.28233,-120.01717,5.68,292.72,292.96,292.67
nn00380267,nn00380267,4.2,2012-06-23T03:51:57.296000Z,39.3178,-119.9904,6.4,304.85,305.39,304.31
nn00494672,nn00494672,2.5,2015-05-17T12:38:29.189000Z,39.6093,-119.4301,12.0,302.4,303.06,302.54
nc73938166,nc73938166,3.2,2023-09-18T04:17:37.720000Z,39.2225,-120.09567,3.53,304.98,305.47,304.79
nn00414380,nn00414380,2.9,2013-06-05T12:59:34.439000Z,39.1143,-119.7142,9.4,305.27,305.58,305.27
nn00001802,nn00001802,2.5,2000-01-28T20:57:04.879000Z,39.5434,-118.9612,15.8,218.24,218.3,218.73
nn00229399,nn00229399,3.3,2008-01-12T11:51:39.475000Z,38.835,-119.6493,7.4,302.63,303.21,302.48
nn00862754,nn00862754,2.8,2023-07-16T13:36:38.788000Z,39.3942,-119.7142,6.4,305.01,304.53,304.94
nc21370353,nc21370353,3.4,2004-06-12T15:04:19.110000Z,39.40733,-120.21133,-1.08,298.97,298.55,299.3
nn00231198,nn00231198,3.5,2008-01-28T22:18:34.593000Z,39.3087,-119.9713,11.2,303.79,303.34,303.71
nn00819000,nn00819000,3.3,2021-08-19T05:23:53.235000Z,39.1265,-119.6632,11.3,305.52,305.95,305.5
nn00436681,nn00436681,2.6,2014-01-30T11:42:49.677000Z,39.4218,-119.5925,11.93,304.87,304.63,305.0
nn00178326,nn00178326,2.5,2006-03-31T12:12:13.053000Z,39.388,-119.1451,12.3,304.01,304.02,304.17
nn00348842,nn00348842,2.6,2011-09-22T22:46:46.451000Z,39.1337,-119.6049,10.3,305.54,305.13,305.6
nn00889155,nn00889155,2.5,2024-12-11T04:48:24.355000Z,39.1613,-119.0406,12.7,305.42,305.22,305.59
nn00307385,nn00307385,3.5,2010-03-24T02:22:03.802000Z,38.8228,-119.3694,7.9,305.15,305.38,304.96
nn00522707,nn00522707,2.8,2008-04-16T00:53:52.450000Z,39.5283,-119.94,2.0,306.09,305.44,305.96
nn00251646,nn00251646,2.9,2008-04-25T12:42:17.872000Z,39.5255,-119.9315,2.8,305.49,304.85,305.35
nn00833739,nn00833739,2.5,2022-02-12T16:55:53.594000Z,39.4843,-119.1359,8.6,303.46,303.29,303.48
nn00249024,nn00249024,3.0,2008-06-10T00:18:35.021000Z,39.5464,-119.9189,1.2,305.6,304.85,305.43
nn00104454,nn00104454,2.7,2004-04-10T13:57:49.554000Z,39.5118,-119.7503,4.9,305.22,305.26,305.13
nn00274506,nn00274506,2.5,2008-04-27T14:41:18.483000Z,39.5196,-119.9233,2.3,305.38,304.95,305.28
nn00244367,nn00244367,2.5,2008-05-07T04:03:21.122000Z,39.5469,-119.9514,3.2,306.43,305.79,306.34
nn00888613,nn00888613,3.3,2024-12-09T23:49:05.491000Z,39.1787,-119.0205,6.8,305.58,305.72,305.42
nn00278764,nn00278764,3.0,2008-04-26T06:42:27.492000Z,39.5253,-119.9243,0.9,295.76,295.58,295.59
nc73051211,nc73051211,2.7,2018-07-21T09:16:40.690000Z,39.4755,-120.24583,6.45,305.25,304.95,305.2
nn00137417,nn00137417,2.8,2005-04-28T10:27:43.281000Z,39.1031,-118.9945,3.2,305.12,304.64,305.0
nc21370352,nc21370352,3.6,2004-06-12T14:49:41.810000Z,39.40733,-120.213,-0.18,299.1,298.67,298.51
nc72822076,nc72822076,3.7,2017-06-27T09:02:02.720000Z,39.4675,-120.33883,-1.58,301.99,301.81,302.44
nn00265044,nn00265044,2.9,2008-11-13T07:42:08.361000Z,39.5486,-119.9438,5.9,305.51,305.93,305.41
nc73566776,nc73566776,2.7,2021-05-28T17:05:34.460000Z,39.12067,-120.03017,6.52,305.01,305.37,304.96
nc72713711,nc72713711,2.8,2016-10-17T04:38:34.350000Z,39.41583,-120.16433,5.67,300.98,301.4,300.89
nn00380292,nn00380292,2.5,2012-06-23T07:13:46.497000Z,39.3192,-119.9857,6.3,304.89,305.43,304.85
nn00241813,nn00241813,3.0,2008-04-21T19:14:10.399000Z,39.516,-119.9235,2.3,305.38,304.64,305.22
nn00860806,nn00860806,2.9,2023-06-04T00:20:54.829000Z,39.6129,-119.9698,7.1,304.24,304.26,304.17
nc21368395,nc21368395,3.0,2004-06-03T08:25:37.560000Z,39.33633,-120.01233,2.91,301.95,302.0,301.78
nn00032442,nn00032442,3.6,2001-07-07T07:33:54.192000Z,39.3118,-119.9707,9.5,301.09,301.18,300.92
nn00873424,nn00873424,3.0,2024-02-14T07:06:30.000000Z,39.396,-119.7146,6.4,305.2,305.38,305.1
nn00523675,nn00523675,3.2,2015-12-23T06:22:36.147000Z,39.4312,-119.7867,9.2,305.1,305.01,305.03
nn00889139,nn00889139,2.7,2024-12-09T23:29:48.993000Z,39.1625,-119.0597,8.4,305.49,305.35,305.48
nn00670931,nn00670931,3.6,2018-12-20T13:24:02.129000Z,39.1129,-119.729,8.1,304.03,304.53,303.81
nn00250198,nn00250198,2.9,2008-06-17T14:01:48.987000Z,39.5271,-119.936,4.5,305.8,305.19,305.68
nn00888685,nn00888685,2.5,2024-12-10T01:09:11.898000Z,39.1612,-119.0443,12.7,305.44,305.2,305.61
nn00494499,nn00494499,2.5,2015-05-15T20:40:53.659000Z,39.4275,-119.8635,10.1,298.27,297.99,298.34
nn00271808,nn00271808,3.2,2008-04-26T10:08:32.539000Z,39.5142,-119.9167,3.6,305.98,305.25,305.79
nn00526746,nn00526746,3.0,2015-12-23T06:45:49.315000Z,39.4308,-119.7844,9.7,305.23,305.18,305.21
nc73855405,nc73855405,2.6,2023-03-11T16:09:53.660000Z,39.35983,-120.01317,1.33,306.27,305.59,306.16
nc72112115,nc72112115,2.6,2013-11-30T08:54:13.970000Z,39.44583,-120.28333,5.23,294.48,294.64,294.41
nc72822096,nc72822096,4.0,2017-06-27T09:09:21.860000Z,39.46967,-120.33433,-1.43,305.55,305.74,306.56
nn00243901,nn00243901,2.8,2008-05-03T09:26:34.694000Z,39.5344,-119.9395,1.3,305.85,305.19,305.72
nn00719663,nn00719663,4.5,2020-03-21T01:33:35.369000Z,39.1112,-119.7361,8.4,304.39,304.94,303.68
nn00432465,nn00432465,3.5,2009-12-23T04:59:54.211000Z,39.3133,-119.9949,7.8,304.49,305.06,304.3
nc72488831,nc72488831,3.2,2015-07-19T01:36:06.880000Z,39.45267,-120.28,7.79,305.07,304.52,304.96
nn00889316,nn00889316,2.5,2024-12-12T03:23:21.035000Z,39.154,-119.0706,8.1,305.39,305.59,305.4
nn00888654,nn00888654,3.0,2024-12-10T00:32:18.468000Z,39.1661,-119.06,8.9,304.79,305.02,304.75
nn00867659,nn00867659,3.1,2023-10-20T15:59:25.565000Z,39.6274,-119.638,10.1,305.35,305.22,305.33
nn00107061,nn00107061,2.9,2004-06-19T16:10:00.102000Z,39.4679,-119.1456,12.9,297.19,297.28,297.33
nn00208650,nn00208650,2.8,2006-11-21T07:20:47.501000Z,39.3737,-119.9655,0.0,298.44,298.81,298.27
nn00123032,nn00123032,2.6,2005-01-03T12:45:19.725000Z,38.8921,-118.908,7.2,295.7,295.73,295.68
nn00243550,nn00243550,3.3,2008-04-30T21:54:04.941000Z,39.507,-119.9125,2.4,306.39,305.64,306.16
nn00524671,nn00524671,2.5,2015-12-23T07:05:44.416000Z,39.4169,-119.7867,9.3,304.11,304.02,304.15
nc72822266,nc72822266,2.9,2017-06-27T16:17:38.980000Z,39.46917,-120.336,-1.17,304.26,304.05,304.46
nn00241238,nn00241238,3.3,2008-04-15T21:33:57.644000Z,39.5358,-119.9339,1.7,305.35,304.89,305.12
nn00889115,nn00889115,3.0,2024-12-11T00:30:46.781000Z,39.1645,-119.0397,7.2,305.6,305.59,305.51
nn00273168,nn00273168,2.5,2008-04-26T15:35:00.200000Z,39.5209,-119.9222,3.3,305.26,305.29,305.18
nn00243352,nn00243352,2.9,2008-04-29T06:33:09.891000Z,39.533,-119.939,0.0,305.86,305.19,305.66
nn00888636,nn00888636,2.6,2024-12-10T00:13:43.152000Z,39.1616,-119.0411,12.2,304.38,304.5,304.52
nn00888863,nn00888863,2.5,2024-12-10T08:16:48.719000Z,39.1655,-119.0415,10.6,305.12,304.77,305.21
nn00165483,nn00165483,2.8,2005-10-14T21:35:17.290000Z,39.079,-119.0044,6.7,300.93,300.83,300.87
nn00586270,nn00586270,2.6,2017-04-19T15:29:29.822000Z,39.0657,-118.922,7.7,305.6,305.49,305.58
nn00527268,nn00527268,2.8,2016-01-17T14:25:18.622000Z,39.5899,-119.0908,6.4,301.85,301.63,301.78
nn00248740,nn00248740,3.7,2008-06-08T17:53:40.688000Z,39.5487,-119.9192,2.3,305.56,304.82,305.21
nn00888600,nn00888600,2.7,2024-12-09T23:34:04.833000Z,39.1484,-119.0623,14.1,305.69,305.4,305.9
nn00888607,nn00888607,3.2,2024-12-09T23:39:28.343000Z,39.1575,-119.0509,10.3,305.52,305.62,305.49
nc71451855,nc71451855,2.6,2010-09-07T13:06:56.950000Z,39.21033,-120.06767,5.71,304.37,304.89,304.31
nn00242483,nn00242483,2.5,2008-04-26T01:28:32.664000Z,39.5291,-119.9282,1.2,305.6,305.72,305.5
nn00243763,nn00243763,2.5,2008-05-02T12:26:14.360000Z,39.5371,-119.9367,4.7,305.54,304.97,305.47
nn00075738,nn00075738,2.5,2003-11-16T19:52:58.153000Z,39.4208,-119.9134,7.4,303.06,303.14,303.05
nn00242477,nn00242477,3.5,2008-04-26T01:13:20.999000Z,39.5246,-119.9283,0.9,305.25,304.6,304.96
nn00523693,nn00523693,3.1,2015-12-23T07:05:36.281000Z,39.4362,-119.7835,9.6,301.67,301.48,301.64
nn00888664,nn00888664,3.3,2024-12-10T00:40:59.340000Z,39.1584,-119.0548,10.0,47.74,49.14,48.54
nn00889584,nn00889584,3.4,2024-12-14T18:14:13.735000Z,39.1538,-119.058,9.0,305.42,305.47,305.29
nn00787091,nn00787091,3.8,2020-12-01T23:10:47.074000Z,39.4724,-119.3708,13.1,305.83,305.8,305.72
nc72321601,nc72321601,2.9,2014-10-06T08:48:04.390000Z,39.2335,-120.10067,3.42,305.15,304.83,305.02
nn00245800,nn00245800,2.8,2008-05-18T08:44:19.556000Z,39.5503,-119.9184,3.1,304.7,304.62,304.58
nn00279090,nn00279090,2.8,2008-04-26T07:09:58.733000Z,39.5277,-119.9255,0.9,291.68,291.78,291.54
nn00436659,nn00436659,2.5,2014-01-30T10:25:19.640000Z,39.4183,-119.5732,9.8,302.59,302.43,302.66
nn00606357,nn00606357,2.6,2017-09-21T21:09:28.100000Z,39.7645,-119.6985,7.3,305.2,305.15,305.18
nc21152723,nc21152723,2.5,2001-03-11T18:59:32.540000Z,39.605,-120.01417,6.46,260.41,260.9,260.39
nn00659830,nn00659830,2.7,2018-10-06T20:11:08.466000Z,39.3127,-119.9163,8.8,300.81,300.66,300.82
nn00278771,nn00278771,2.7,2008-04-26T06:43:31.342000Z,39.5055,-119.9408,1.1,301.68,301.64,301.55
nc71123164,nc71123164,2.7,2021-05-07T04:26:54.470000Z,39.46683,-120.32233,12.39,305.58,305.98,305.71
nc72428161,nc72428161,3.4,2015-04-08T05:06:43.720000Z,39.36067,-120.02083,-0.68,298.9,299.0,299.6
nn00345789,nn00345789,2.6,2011-08-22T03:01:37.484000Z,39.4831,-119.1427,4.4,304.31,304.14,304.22
nn00638434,nn00638434,3.0,2018-06-06T16:37:18.020000Z,39.4002,-119.9753,6.7,304.76,304.94,304.66
nc72983196,nc72983196,2.6,2018-03-13T05:59:06.440000Z,39.74967,-120.2975,8.28,305.36,305.7,305.36
nc21130131,nc21130131,2.7,2000-10-17T06:36:02.230000Z,39.51,-120.327,1.5,287.22,287.32,287.11
nc71126849,nc71126849,3.0,2021-05-07T04:37:38.190000Z,39.467,-120.3195,10.8,280.57,280.88,280.61
nn00380485,nn00380485,2.7,2012-06-26T19:05:51.399000Z,39.3142,-119.9942,5.7,304.56,305.09,304.49
nn00321469,nn00321469,2.9,2010-11-28T09:47:38.222000Z,39.4291,-119.8648,13.1,302.16,302.71,302.3
nn00436632,nn00436632,2.5,2014-01-30T06:19:25.353000Z,39.4191,-119.5554,4.3,303.91,303.61,303.84
nc21126268,nc21126268,2.7,2000-09-21T15:25:15.880000Z,39.51167,-120.325,1.78,284.0,283.46,283.88
nn00279659,nn00279659,3.2,2008-04-26T08:12:37.356000Z,39.5265,-119.9249,1.1,304.91,304.26,304.7
nc73643690,nc73643690,3.1,2021-10-23T21:46:28.260000Z,39.56317,-120.31283,5.98,302.35,302.8,302.21
nn00670948,nn00670948,3.2,2018-12-20T13:30:45.530000Z,39.1135,-119.7306,7.9,304.03,304.54,303.93
nc73554405,nc73554405,2.5,2021-04-25T15:54:52.140000Z,39.12667,-120.02883,6.62,305.6,306.03,305.57
nn00241404,nn00241404,3.5,2008-04-15T21:32:31.818000Z,39.5283,-119.9308,1.9,305.34,304.69,305.05
nc73343145,nc73343145,2.7,2020-02-19T08:08:45.090000Z,39.22717,-120.10467,6.41,305.27,305.82,305.21
nn00451213,nn00451213,3.2,2014-07-08T00:16:47.573000Z,39.1975,-119.7261,9.0,304.32,304.88,304.24
nn00709183,nn00709183,3.2,2019-11-01T07:00:02.215000Z,39.137,-119.6248,8.2,304.71,304.49,304.61
nc40226537,nc40226537,2.6,2008-11-21T20:34:15.130000Z,39.35967,-120.00217,2.46,300.8,300.54,300.7
nn00248430,nn00248430,2.7,2008-04-26T07:05:39.228000Z,39.5272,-119.9285,1.2,305.19,304.53,305.06
nn00241743,nn00241743,2.7,2008-04-21T00:10:13.224000Z,39.5247,-119.9302,2.9,305.41,304.86,305.3
nn00244231,nn00244231,2.5,2008-05-06T10:09:31.054000Z,39.4861,-119.8845,2.5,303.93,304.04,303.84
nn00021354,nn00021354,2.6,2000-12-17T21:14:48.739000Z,39.4648,-119.4127,13.9,305.73,306.12,305.94
nn00874356,nn00874356,2.7,2024-03-08T00:14:33.277000Z,39.4042,-119.6898,8.5,304.16,304.32,304.15
nc72193415,nc72193415,2.7,2014-04-04T05:27:43.280000Z,39.23317,-120.10417,-1.92,304.88,304.54,305.19
nn00751490,nn00751490,2.5,2020-06-21T21:59:50.034000Z,39.6054,-119.0916,6.3,303.89,303.96,303.85
nn00239462,nn00239462,3.0,2008-03-27T03:42:14.344000Z,39.5315,-119.9366,1.7,305.71,305.06,305.54
nn00122461,nn00122461,2.5,2004-12-27T15:12:14.703000Z,39.5938,-119.7949,3.4,292.87,292.29,292.79
nn00020076,nn00020076,3.4,2000-11-25T17:38:20.098000Z,39.6757,-119.293,8.9,305.45,306.03,305.32
nn00429763,nn00429763,2.7,2013-11-23T01:11:06.179000Z,39.3475,-119.9935,5.6,302.59,302.59,302.52
nc21370408,nc21370408,2.6,2004-06-12T23:02:14.950000Z,39.33117,-120.033,-0.86,298.01,298.19,298.17
nn00518397,nn00518397,2.7,2008-04-15T14:59:58.758000Z,39.5503,-119.9197,3.1,304.02,304.1,303.91
nc75037427,nc75037427,2.9,2024-07-21T03:19:19.980000Z,39.13367,-120.03367,5.3,303.35,303.72,303.24
nn00283061,nn00283061,2.9,2008-04-26T14:47:28.190000Z,39.4827,-119.9251,0.3,306.41,305.75,306.25
nn00415768,nn00415768,2.8,2013-06-20T15:06:21.644000Z,39.1105,-119.7182,9.2,304.14,304.68,304.15
nn00242157,nn00242157,3.6,2008-04-24T22:47:04.170000Z,39.528,-119.9283,2.2,305.15,305.25,304.83
nc21469100,nc21469100,2.6,2005-07-14T20:52:39.370000Z,39.32133,-120.07333,6.08,304.78,304.93,304.73
nn00618549,nn00618549,2.8,2018-01-17T03:24:53.825000Z,39.3829,-119.7531,7.0,304.06,303.89,304.0
nn00889068,nn00889068,2.9,2024-12-10T21:40:23.833000Z,39.1268,-119.0421,6.9,303.47,303.0,303.39
nn00888972,nn00888972,2.7,2024-12-10T12:58:17.256000Z,39.162,-119.0531,12.6,305.5,305.88,305.65
nn00057973,nn00057973,3.5,2002-10-21T22:30:57.457000Z,39.533,-119.1692,11.5,298.4,298.36,298.34
nn00889608,nn00889608,3.6,2024-12-15T02:23:53.987000Z,39.0803,-118.9832,8.3,305.02,304.63,304.81
nn00252300,nn00252300,2.5,2008-04-25T23:48:22.245000Z,39.5233,-119.9174,1.6,304.49,304.46,304.4
nn00167838,nn00167838,2.8,2005-09-16T16:06:20.433000Z,39.0772,-119.6417,8.3,301.57,301.52,301.55
nc73509325,nc73509325,2.6,2021-01-11T02:20:52.310000Z,39.40167,-120.172,9.81,304.07,304.76,304.12
nn00638386,nn00638386,3.1,2018-06-06T07:32:15.238000Z,39.4044,-119.9753,7.5,304.79,304.79,304.7
nn00243275,nn00243275,2.9,2008-04-28T21:34:02.581000Z,39.5192,-119.9238,3.8,305.06,304.44,304.93
nn00264665,nn00264665,2.5,2008-11-07T08:14:46.317000Z,38.8734,-119.574,0.0,300.53,300.85,300.4
nc73559260,nc73559260,3.1,2021-05-07T04:26:31.770000Z,39.46483,-120.31683,9.41,305.23,305.41,305.18
nn00518396,nn00518396,2.7,2008-04-15T14:59:46.819000Z,39.5399,-119.9075,2.0,304.97,304.82,304.85
nn00242561,nn00242561,3.4,2008-04-26T07:29:20.041000Z,39.5297,-119.9308,2.7,305.29,304.65,305.04
nn00889492,nn00889492,3.3,2024-12-13T15:33:36.399000Z,39.1294,-119.0408,8.0,304.28,303.87,304.15
nn00580233,nn00580233,2.6,2017-02-27T19:06:02.362000Z,39.0747,-118.9957,6.9,305.07,305.16,305.03
nn00512464,nn00512464,3.0,2015-09-27T10:10:03.764000Z,39.645,-119.1478,7.2,301.6,301.44,301.52
nn00321514,nn00321514,2.5,2010-11-29T18:22:27.207000Z,39.4255,-119.8648,12.6,302.6,302.92,302.77
nn00366485,nn00366485,2.9,2012-01-27T20:34:32.390000Z,39.3739,-119.9691,5.7,302.74,302.89,302.64
nn00867575,nn00867575,3.6,2023-10-18T18:26:54.225000Z,39.6241,-119.6313,11.6,305.61,305.53,305.51
nn00888585,nn00888585,2.5,2024-12-09T23:25:13.417000Z,39.1497,-119.0566,12.7,305.28,304.95,305.45
nn00337688,nn00337688,2.9,2011-05-18T15:55:50.641000Z,39.7753,-119.9084,8.3,300.75,300.78,300.71
nn00888571,nn00888571,3.2,2024-12-09T23:15:17.630000Z,39.1489,-119.0556,12.3,295.58,296.4,295.63
nn00249127,nn00249127,3.1,2008-06-08T10:13:58.652000Z,39.5468,-119.9218,2.1,305.35,304.6,305.16
nn00421303,nn00421303,4.2,2013-08-27T00:51:43.827000Z,39.6696,-119.6841,13.9,304.9,304.93,304.61
nn00242158,nn00242158,2.9,2008-04-24T22:51:06.799000Z,39.5272,-119.9331,2.1,305.56,305.31,305.41
nc73566621,nc73566621,2.9,2021-05-28T11:59:10.650000Z,39.12217,-120.029,5.8,305.13,305.55,305.03
nn00668094,nn00668094,3.2,2018-12-04T15:14:25.886000Z,39.1155,-119.7303,8.4,301.48,301.83,301.39
nn00243413,nn00243413,2.9,2008-04-29T16:14:59.935000Z,39.5274,-119.9419,0.0,306.28,305.61,306.08
nc73056106,nc73056106,3.5,2018-07-26T07:22:26.100000Z,39.232,-120.11267,3.03,305.59,306.08,305.33
nn00241185,nn00241185,3.0,2008-04-15T00:27:50.830000Z,39.5343,-119.9323,2.6,305.26,304.62,305.1
nn00242532,nn00242532,2.5,2008-04-26T06:51:39.325000Z,39.5297,-119.9312,1.0,305.35,305.21,305.25
